player_id,goals,red_cards,player_club_id,competition_id,matches
4192,20,0,"148,41,150,865,3426","GB1,L1,DFB,ES1,CDR,ELQ,DK1,DKP",115
4205,7,1,1039,"GB1,FAC",54
4208,0,0,167,"L1,DFB",6
4216,2,1,"1083,1519","RU1,RUP,SC1",26
4217,21,1,"1423,3060","FR1,ELQ,GR1,GRP",105
4219,0,0,1123,"GB1,FAC",5
4233,0,0,"1032,989","GB1,FAC",36
4241,4,0,"281,984,405,2441,289","GB1,CL,FAC,GR1",126
4248,25,1,"82,13,36","DFB,L1,ES1,CDR,CL,TR1,CLQ,ELQ,EL",137
4251,0,0,2578,"ELQ,SC1",23
4257,91,0,"2700,631,29,1038,589,2293","ELQ,RU1,EL,RUP,GB1,CL,FAC,IT1,TR1",209
4267,0,1,29,"GB1,FAC,EL",143
4276,67,0,"281,506","GBCS,GB1,CL,FAC,SCI,IT1,CIT,EL",142
4277,2,0,"931,1049,405,124","GB1,FAC,ES1,EL,SC1,SFA",58
4310,0,0,12,"IT1,CIT",6
4311,0,0,"12,931,162,180,29,610","IT1,CIT,GB1,FAC,FR1,ELQ,EL,NLP,NL1",115
4314,1,1,46,"ELQ,CIT,IT1,EL",15
4315,5,0,"29,931,44,610","GB1,FAC,DFB,L1,NLP,NL1",62
4316,2,0,678,"DK1,DKP",45
4317,11,0,583,"FR1,CL,FRCH",175
4321,8,0,"29,289","GB1,FAC,EL",96
4323,12,1,"3057,1096","BE1,ELQ,EL,CLQ",156
4327,2,0,235,"NLP,NL1",28
4334,0,0,132,"NL1,NLP",110
4337,0,0,1053,DK1,4
4338,0,0,383,"NLSC,NL1,EL,NLP",30
4344,1,0,235,NL1,23
4351,0,0,5724,DK1,9
4357,121,1,"33,610","L1,CL,DFB,EL,CLQ,NL1,ELQ,NLP",287
4359,2,0,192,"NL1,NLP",14
4360,70,0,"27,202","DFL,DFB,L1,CL,USC,NL1",194
4361,4,0,206,"DK1,DKP",31
4371,0,0,142,"ES1,CDR",24
4377,31,0,"1184,3508","BE1,ELQ,EL,BESC",214
4380,110,1,"985,36,234","GB1,CL,FAC,GBCS,CLQ,TR1,ELQ,EL,NL1,NLP,NLSC",228
4383,16,1,"141,1123,206","TR1,CL,GB1,FAC,DK1,DKP,ELQ",115
4384,0,0,2727,BE1,5
4391,0,2,"383,1506,653","ELQ,EL,NL1,NLP,TR1,GR1,GRP",128
4403,3,0,"6692,190,5817","CIT,DK1,DKP",63
4408,2,0,1268,NL1,13
4410,5,0,1426,"NL1,NLP",32
4415,0,0,"317,403","NLP,NL1",20
4424,2,0,"499,403","ELQ,NL1,NLP",20
4425,6,1,"610,499","NLSC,NL1,NLP,ELQ",46
4429,2,0,"306,1304","NLP,NL1",18
4451,3,0,"383,317","ELQ,EL,NL1,NLP",25
4452,11,0,403,"NL1,NLP",72
4456,1,0,1269,"NL1,NLP",15
4471,0,0,133,"NLP,NL1",8
4487,0,0,467,NL1,6
4489,0,2,"336,206,234","PO1,ELQ,EL,POCP,DK1,CLQ,NL1",49
