player_id,name,position,sub_position,country_of_citizenship,image_url,goals,assists,red_cards,player_club_id
530157,Cem Türkmen,Midfield,Central Midfield,Türkiye,https://img.a.transfermarkt.technology/portrait/header/530157-1696615380.png?lm=1,0.0,1.0,0.0,2.0
530173,Julian Niehues,Midfield,Defensive Midfield,Germany,https://img.a.transfermarkt.technology/portrait/header/530173-1721852705.jpg?lm=1,3.0,0.0,0.0,1.0
530222,Michael Tait,Attack,Centre-Forward,England,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
530223,Mungo Bridge,Defender,Centre-Back,England,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,1.0
530253,Ishan Kort,Goalkeeper,Goalkeeper,Suriname,https://img.a.transfermarkt.technology/portrait/header/530253-1658862333.jpg?lm=1,0.0,0.0,0.0,0.0
530258,Dean Huiberts,Midfield,Central Midfield,Netherlands,https://img.a.transfermarkt.technology/portrait/header/530258-1673436630.jpg?lm=1,2.0,1.0,0.0,2.0
530289,Luiz Henrique,Midfield,Attacking Midfield,Brazil,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,1.0
530298,Christian Conteh,Attack,Right Winger,Germany,https://img.a.transfermarkt.technology/portrait/header/530298-1722892107.jpg?lm=1,1.0,0.0,0.0,3.0
530384,Tom Pearce,Defender,Left-Back,England,https://img.a.transfermarkt.technology/portrait/header/530384-1740597462.jpg?lm=1,0.0,0.0,0.0,0.0
530414,Kaheem Parris,Attack,Right Winger,Jamaica,https://img.a.transfermarkt.technology/portrait/header/530414-1718692799.png?lm=1,0.0,3.0,0.0,2.0
530421,Daniel,Goalkeeper,Goalkeeper,Brazil,https://img.a.transfermarkt.technology/portrait/header/530421-1771758266.jpg?lm=1,0.0,0.0,0.0,0.0
530441,Luke Bodnar,Midfield,Defensive Midfield,Australia,https://img.a.transfermarkt.technology/portrait/header/530441-1722514291.png?lm=1,0.0,0.0,0.0,0.0
530447,Tae-hyun An,Defender,Right-Back,"Korea, South",https://img.a.transfermarkt.technology/portrait/header/530447-1631645864.png?lm=1,0.0,0.0,0.0,0.0
530527,Merchas Doski,Defender,Left-Back,Iraq,https://img.a.transfermarkt.technology/portrait/header/530527-1780662743.jpg?lm=1,0.0,3.0,0.0,2.0
530552,Federico Bonini,Defender,Left-Back,Italy,https://img.a.transfermarkt.technology/portrait/header/530552-1663874276.jpg?lm=1,0.0,0.0,0.0,1.0
530673,Shota Nonikashvili,Midfield,Defensive Midfield,Georgia,https://img.a.transfermarkt.technology/portrait/header/530673-1724342668.png?lm=1,5.0,4.0,0.0,2.0
530675,George Caramalău,Defender,Centre-Back,Romania,https://img.a.transfermarkt.technology/portrait/header/530675-1753433624.png?lm=1,0.0,0.0,0.0,0.0
530696,Irakli Azarovi,Defender,Left-Back,Georgia,https://img.a.transfermarkt.technology/portrait/header/530696-1723486474.png?lm=1,0.0,9.0,0.0,1.0
530732,Vontae Daley-Campbell,Defender,Right-Back,England,https://img.a.transfermarkt.technology/portrait/header/530732-1536738244.jpg?lm=1,0.0,0.0,0.0,1.0
530733,Fernando Joao,Attack,Second Striker,Argentina,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,1.0,2.0,0.0,1.0
530736,Keyendrah Simmonds,Attack,Centre-Forward,England,https://img.a.transfermarkt.technology/portrait/header/530736-1612171726.jpg?lm=1,0.0,0.0,0.0,0.0
530737,Richard,Midfield,Defensive Midfield,Brazil,https://img.a.transfermarkt.technology/portrait/header/530737-1724671365.jpg?lm=1,2.0,5.0,0.0,1.0
530742,Fisayo Dele-Bashiru,Midfield,Central Midfield,Nigeria,https://img.a.transfermarkt.technology/portrait/header/530742-1683029896.jpg?lm=1,15.0,10.0,0.0,3.0
530746,Sang-yong Lee,Defender,Centre-Back,"Korea, South",https://img.a.transfermarkt.technology/portrait/header/530746-1585936497.jpg?lm=1,0.0,0.0,0.0,0.0
530750,Jae-hee Jeong,Attack,Right Winger,"Korea, South",https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
530780,Jason Knight,Midfield,Central Midfield,Ireland,https://img.a.transfermarkt.technology/portrait/header/530780-1731660065.jpg?lm=1,1.0,0.0,0.0,1.0
530801,Furkan Yildirim,Defender,Centre-Back,Turkey,https://img.a.transfermarkt.technology/portrait/header/530801-1517068872.jpg?lm=1,0.0,0.0,0.0,0.0
530807,Dilan Markanday,Attack,Right Winger,England,https://img.a.transfermarkt.technology/portrait/header/530807-1642415950.jpg?lm=1,0.0,0.0,0.0,2.0
530813,Anis Mehmeti,Midfield,Attacking Midfield,Albania,https://img.a.transfermarkt.technology/portrait/header/530813-1680273487.jpg?lm=1,1.0,0.0,0.0,2.0
530851,Franco Tongya,Midfield,Central Midfield,Italy,https://img.a.transfermarkt.technology/portrait/header/530851-1774432832.jpg?lm=1,8.0,6.0,0.0,2.0
530879,Kayne Ramsay,Defender,Right-Back,England,https://img.a.transfermarkt.technology/portrait/header/530879-1633438285.jpg?lm=1,0.0,0.0,0.0,1.0
530881,Oludare Olufunwa,Defender,Centre-Back,England,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,1.0
530902,Abdoulaye Touré,Attack,Left Winger,France,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
530915,Teddy Jenks,Midfield,Central Midfield,England,https://img.a.transfermarkt.technology/portrait/header/530915-1626165562.jpg?lm=1,0.0,2.0,0.0,2.0
530916,Jack Spong,Midfield,Central Midfield,England,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
530952,Thierry Nevers,Attack,Left Winger,England,https://img.a.transfermarkt.technology/portrait/header/530952-1736611673.png?lm=1,0.0,0.0,0.0,0.0
530965,Matthew Wright,Attack,Centre-Forward,Scotland,https://img.a.transfermarkt.technology/portrait/header/530965-1628697940.jpg?lm=1,3.0,0.0,0.0,3.0
531007,Soufiane Bouftini,Defender,Centre-Back,Morocco,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
531031,Brad Spencer,Midfield,Defensive Midfield,Scotland,https://img.a.transfermarkt.technology/portrait/header/531031-1757541726.jpg?lm=1,1.0,2.0,0.0,1.0
531038,Ji-hwan Mun,Midfield,Defensive Midfield,"Korea, South",https://img.a.transfermarkt.technology/portrait/header/531038-1583177608.JPG?lm=1,0.0,0.0,0.0,0.0
531040,Min-kyu Kim,Defender,Centre-Back,"Korea, South",https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
531062,Fabio González,Midfield,Central Midfield,Spain,https://img.a.transfermarkt.technology/portrait/header/531062-1701789610.jpg?lm=1,0.0,0.0,0.0,1.0
531065,Oussama El Azzouzi,Midfield,Defensive Midfield,Morocco,https://img.a.transfermarkt.technology/portrait/header/531065-1707127581.jpg?lm=1,3.0,2.0,1.0,3.0
531161,Rasmus Horup Hansen,Goalkeeper,Goalkeeper,Denmark,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
531186,Junior Eyamba,Attack,Centre-Forward,Switzerland,https://img.a.transfermarkt.technology/portrait/header/531186-1613769003.JPG?lm=1,0.0,0.0,0.0,0.0
531214,Adis Jasic,Defender,Right-Back,Austria,https://img.a.transfermarkt.technology/portrait/header/531214-1726595804.jpg?lm=1,0.0,1.0,0.0,1.0
531216,Maximilian Scharfetter,Midfield,Attacking Midfield,Austria,https://img.a.transfermarkt.technology/portrait/header/531216-1726596374.jpg?lm=1,0.0,0.0,0.0,0.0
531273,Fran Álvarez,Midfield,Attacking Midfield,Spain,https://img.a.transfermarkt.technology/portrait/header/531273-1753191317.JPG?lm=1,0.0,0.0,0.0,0.0
531274,Diego Fuoli,Goalkeeper,Goalkeeper,Spain,https://img.a.transfermarkt.technology/portrait/header/531274-1677267789.png?lm=1,0.0,0.0,0.0,1.0
531277,Andrés Martín,Attack,Centre-Forward,Spain,https://img.a.transfermarkt.technology/portrait/header/531277-1620115926.jpg?lm=1,0.0,0.0,0.0,1.0
531286,Erick Wiemberg,Defender,Left-Back,Chile,https://img.a.transfermarkt.technology/portrait/header/531286-1656492716.jpg?lm=1,0.0,0.0,0.0,0.0
531289,Fabian Wohlmuth,Defender,Right-Back,Austria,https://img.a.transfermarkt.technology/portrait/header/531289-1753455748.png?lm=1,0.0,0.0,0.0,1.0
531305,Pablo Muñoz,Midfield,Attacking Midfield,Spain,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
531332,Emirhan Topçu,Defender,Centre-Back,Türkiye,https://img.a.transfermarkt.technology/portrait/header/531332-1727357464.png?lm=1,3.0,5.0,0.0,2.0
531338,Scotty Sadzoute,Defender,Left-Back,France,https://img.a.transfermarkt.technology/portrait/header/531338-1626687969.jpg?lm=1,0.0,0.0,0.0,0.0
